Rattings,Reviews
5,"- I am using this laptop for about 15 days and if you need a future-proof laptop then this is the one.- The best part is the thermal system of this laptop, literally, this laptop doesn't heat up which definitely extends the life your laptop.- Almost all software available in the market is optimized to give the best performance with Intel processors and here you got the latest 11 generation intel i5 Hexa core processor.- The build quality is best, the design is awesome and the performance is powerful.- The typing experience you will get on this laptop is simply fabulous, better than Legion and Tuf laptop.- You can easily open the laptop lid with a single hand.- I use MATLAB and some CAD Softwares on this laptop which works very smoothly without any issue.- The battery life is not that good as it is a gaming laptop. It lasts around 3 to 4 hrs for multitasking and heavy work.- Recently, I have upgraded my laptop to windows 11 which is working fine.- The battery life is not that good as it is a gaming laptop."
1,I got a faulty product the charger wasn’t working and i ordered the 1tb 256ssd variant but i got 512ssd variant delivered which was faulty even thou on my invoice it mentioned the 1tb variant.
5,one of the best thermals out there intels new Alder Lake CPU with Nvidia RTX 3050 for smooth gamingpersonally using it and liked it so muchJust add another ssd for even better performance
5,Best gaming laptop in this range even after long hours of gaming it does not get much heated like the other laptops.  The display is amazing for gaming. Does not get heated fast can play for 3 to 4 hours without it getting heated.  Comfortable keyboard for gaming. The battery life is excellent for gaming laptop. I thought my charger was not working so I got in touch with the customer care and they were super helpful resolved my issue immediately actually the charger had to be pushed all the way it is a double push when it connects we hear a click sound.
5,"Loved this Laptop, Simply Amazing, Go for it"
5,"BATTERY IS A BIT LOW COMPARED TO OTHERS OF SAME PRICE BUT HDD AND SSD COMBO MAKES UP FOR THE LOSS, THERMALS ARE AWESOME.SERIOUSLY GO FOR IT IF YOU WANT BEST RTX 3050 LAPTOP, EVEN THOUGH THE TGP OF THE GPU IS A BIT LOWER THAN THE ROG STRIX G15, THE PERFORMANCE IS TOO BIG. HENCE GO FOR IT."
5,"Worth the money, if anybodys laptop is unable to charge up, remember to push the pin inside the charger port all the way in."
5,Super for gaming and editing
5,Good for gaming and editing.I love it.
5,Been using this for almost 3 months.. performance is great..audio is average but rest all are great.
3,Good GamingGood PerformanceCharger not working 😞😔😓☹️😢
5,Good laptop
5,Good product
5,Love the Laptop. If you're looking for an excellent gaming laptop under 70k this is the best choice.
5,Good laptop at this range. Laptop speed is fentastic. And looking good with rgb keyboard and the buttons of keyboard are also good.
4,"Go for it, it's a nice pick."
3,"I am writing this review after about 1 month of usage. The specs can be looked at in the description. So, I will tell about the problems only. The keyboard spacing is not good. You will need time to get used to it. I am a programmer by profession. So, even though I know the key placements, typing errors are frequent. Touchpad's build quality doesn't look good. Also one needs to pick up the laptop with both hands, otherwise, some issues arise (like fan making noise). This laptop attracts dust, so need some measures for that also (keyboard cover). The battery is average (wouldn't have expected much as it is a performance-oriented laptop and 60Hz minimises the battery consumption). Many times, only 2 USB ports can be used (has 3 ports, but 2 are very close). The power point at the back also creates an issue (one needs to be extra cautious while charging). Sometimes, it gets heated even while using a browser and a media player and file explorer opened. So, it is an average product."
5,"Push charging pin through it will work , everything is fine in laptop nice  deal  good laptop 👍 👍 👍"
5,"1. First at all to every one i want to say do not think about bad reviews for this laptop because those bad reviews is not for its laptop those are 11300H which is 4 core 8 thread.And other for who got defective product (it is main reason for bad reviews) .2. Before buying this laptop i had done lots of research, wathing lots of video and the end i am confused with two processor amd (ryzen 5 5600H 6C 12T) and intel (i5-11400H 6C 12T in this laptop)CONCLUSION (this new intel processor beats  ryzen processor ) so that's why i choose this one.  ***************** Now about this laptop **************1. Everything awesome just go for it blindly.2. Performance 5/5. (base clock 2.7 and upto 4.5 ) ( 6 Core 12 Thread thanks god) ( Chace memory L1 480 KB, L2 7.5 MB, L3 12 MB always remember L1 chace is most speed ,powerful and costly)3. Display 5/5. (144 Hz)4. Build quality 5/5.5. Thunderbolt 4 and its wifi speed is fantastic (advantage..)6 Battery 5/4. (because it is gaming laptop always play game while charging it will give more performance and save your battery life.)7. Speaker 5/4. (yaa speakers is little bit low, but  you can  increase speakers volume by its dts software.)8. it's actual weight is 2.3 Kg not 2.4 i saw on acer offical site."
1,"I am highly disappointed with the product, the first time I got a faulty product it did not even start, after replacement the second one which was suppose to be 1 TB HDD but was only 500 GB.misleading information on the Amazon page.Waiting for my refund and return. I do not TRUST them anymore."
1,"Purchased laptop from Amazon on 3rd oct, noticed the warrant slip serial is not matching with laptop serial, complaint raised to Amazon, 15 days over even now the warrant slip serial is not changed. Now i purchased extended warranty along with this, i have booked the extended warranty based on the warrant slip serial. Now i have paid addtional 3,500 rs extra for some one laptop."
5,"Great deal at this price. Ryzen 3 processor is good enough to deal multitasking and running editing softwares. Got a free windows 11 upgrade which made it more fast and smooth. SSD makes it boot very quickly. The only drawback is RAM availability, only 6 gb is available out of 8, 2 gb is reserved for gpu."
5,"This laptop is awesome for students and teachers as it comes with subscription of MS Office. The screen and sound quality is very good. Battery backup is also great, the battery lasts for almost 5 hours. In battery settings, kept battery to its better performance, if we keep it at the best performance, battery drains out fast."
3,"This laptop is meant for students and working professional for meetings, online class,coding, excel work.Pros:--Laptop is not lagging due to SSD, AMD ryzen 3 is better than Core i3 generation 10 and some what to -11th generation as well.-Built quality is fine.-Lighter than Dell vostro 3401 and inspiron.-Camera is Decent.-Windows 11 working fine, no issues faced after updates-Sound is good.-Key board is good.Cons:--Hinges can be better.-Not meant for gamers.-Screen quality can be better, 220 nits of brightness."
5,"This product is a great one in it's range. The only dissatisfaction there might be from it's fan's noise but I guess it's there to compensate the speed of the CPU... Pretty fast working pc in it's range with SSD 256gb It works really well opens up really fast and it's a good choice if you're looking for normal stuff and little bit of occasional gaming or even some graphical gaming.. (only fan noise will occur at high processing). Keyboard is nice trackpad is also great and opens up really fast thanks to it's well adjust SSD and CPU speed. Fully supported for programmers, coders, businessmen, document editing, excellent for watching movies, videos and all other forms of entertainment... For video editors or gamers not a choice."
1,"The laptop received was defective. It never started without putting it into charging. everytime it started, the screen always remained black, the keyboard lit up and the fan's noise was audible too, but the display never turned on Amazon support was touchwood useless. They kept on postponing the inspection by a week and today the service got completed on its own. I am not even aware of how. Now i cannot return/replace it because a week has already passed."
5,"Perfect in this price range. Design looks and style are great. Fast processing with ssd. Just take couple of seconds to get you on windows. Best part, I got windows 11 update. Keyboard and touchpad are soft and smooth. HP has proven why people have a strong trust and hence one of the top on list. Thanks to Amazon for prompt delivery. Got in just 3 days."
1,"The laptop received is defective stops working after a month, Amazon/HP not doing anything here. Also, the MS office installed is a trial version. Please don't believe whatever is mentioned in the product description and fall into their trap."
5,For online classes
1,Camera stopped working and it seems a refurbished piece
5,Absolutely a  beast at such a price range
1,This product is wrost I am not able to intall Ms office
4,Good morning
5,Value for money
1,Totally disappointed
4,Very good
4,It is good.
3,"I didn't get MS office licence activation key with this product. They mentioned life time validity. I got preinstalled ms office applications. When I open them, asking for licence. Not able to edit anything."
1,"Ho is most worst 👎 laptop 💻 most every laptop facing hange /lack issue plz don't buy this I strongly condemn to you this laptop is not fine are campare to value of money, I was buyed from the starting laptop facing hange issue  but battery is very best, plzzzzz i please to laptop dealer u have to make performance of this laptop this issue not only faccing me but this isbfacing everyone"
